#Classification strategy
#(0) Hopeless
#(1) Arcs or arc constraints (basically anything with scintles resolved in time)
#(2) f_scint constraints (observable scint, not resolved in time)
#(3) Needs a re-do with different filtering pars
#(4) = 1+3), Arcs, but needs a re-do
#(5) = 2+3), f_scint, but needs a re-do
#(6) Borderline, or unsure

#PSRNAME CLASS
J2013-0649 2
J2017+2043 2
J2027+2146 0
J2037+1942 4
J2038-3816 4
J2040+1657 3
J2043+2740 1
J2045+0912 2
J2046+1540 1
J2046-0421 1
J2048+2255 0
J2051+1248 3
J2053+1718 3
J2053-7200 2
J2108-3429 1
J2116+1414 2
J2124+1407 2
J2127-6648 6
J2136-1606 5
J2139+2242 1
J2144-3933 1
J2151+2315 3
J2154-2812 2
J2155-3118 1
J2205+1444 0
J2215+1538 2
J2234+2114 5
J2243+1518 0
J2248-0101 2
J2253+1516 3
J2307+2225 2
J2317+2149 1
J2330-2005 4
J2346-0609 4
